pos	sem	tok
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom piegò le coperte .
DET NOUN PROPN AUX ADJ PUNCT	DEF CON NTH PST IST NIL	La famiglia Van~Horn era ricca .
PROPN AUX VERB ADP PROPN PROPN PUNCT	PER PST EXS REL GPE NIL	Napoleone venne esiliato a Sant'Elena .
PROPN AUX VERB DET DET NOUN PUNCT	PER NOW EXG DEF HAS CON NIL	Tom sta stirando la sua camicia .
PRON VERB PUNCT	AND EPS NIL	Tutti ridevano .
PRON AUX VERB PUNCT	PRO NOW IST NIL	Io sono annoiata .
PRON AUX VERB DET NOUN PUNCT	PRO NOW EXT DIS CON NIL	Tu hai abbattuto un albero .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXT DIS CON NIL	Tom ha tenuto un diario .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC UOM NIL	Questo libro costa venti dollari .
PRON AUX ADV ADV VERB PUNCT	PRO NOW ALT INT IST NIL	Io sono ancora abbastanza assetato .
PRON AUX ADV ADJ ADP PRON PUNCT	AND NOW ALT IST REL PRO NIL	Tutto è ancora nuovo per me .
DET NOUN AUX VERB ADP NOUN PUNCT	DIS CON NOW EXT DEF CON NIL	Una tigre è scappata dallo zoo .
PRON AUX VERB ADP NOUN PUNCT	DIS NOW EXG REL CON NIL	Qualcuno sta bussando alla porta .
PROPN ADV AUX ADJ PUNCT	PER NOT NOW IST NIL	Tom non è socievole .
PRON PRON AUX VERB PUNCT	PRO PRO NOW EXT NIL	Lei lo ha pizzicato .
PROPN AUX DET NOUN PUNCT	PER ENS DIS CON NIL	Tom è un guardone .
AUX VERB DET NOUN NUM PUNCT NUM PUNCT	NOW EXT DEF CON SCO NIL	Abbiamo perso la partita 3-2 .
ADV VERB PROPN PUNCT	QUE EPS PER QUE	Come morì Virginia~Woolf ?
PRON VERB PRON PUNCT	AND ENS DIS NIL	Tutti hanno qualcosa .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è brillo .
PRON ADP PRON AUX ADJ PUNCT	NOT REL PRO NOW IST NIL	Nessuno di loro è vivo .
DET NOUN ADV AUX VERB PUNCT	DEF CON NOW NOW IST NIL	La porta ora è chiusa .
PROPN AUX VERB DET PROPN PUNCT	ORG NOW EXT DEF ORG NIL	GUS ha venduto la Wehkamp .
DET NOUN AUX ADV ADJ PUNCT	DST CON NOW INT IST NIL	Quel ragazzo è molto intelligente .
ADV VERB PROPN PUNCT	QUE EPS PER QUE	Come morì Eva~Peron ?
DET NOUN AUX VERB DET NOUN PUNCT	DEF CON NOW EXT DEF CON NIL	La donna ha abbracciato il bebè .
PROPN AUX AUX VERB PUNCT	PER NOW PFT EXS NIL	Tom è stato rapinato .
PROPN AUX DET ADJ NOUN PUNCT	PER ENS DIS IST ROL NIL	Tom è un abile falegname .
PRON AUX ADJ PUNCT	PRX FUT IST EMP	Questo sarà selvaggio !
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è geloso .
DET NOUN AUX VERB ADP DET NOUN PUNCT	DIS CON NOW EXG REL DEF CON NIL	Un cane sta dormendo sotto il portico .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC UOM NIL	Questo libro costa 3000 yen .
PRON VERB DET NOUN PUNCT	PRO EPS DEF CON NIL	Io scordai il libro .
PROPN PRON VERB PUNCT	PER PRO ENS NIL	Tom vi odia .
PROPN VERB DET NOUN ADP PROPN PUNCT	PER EPS DIS CON REL PER NIL	Tom allungò un cocktail a Mary .
PRON AUX VERB ADP PROPN PART PUNCT	PRO NOW EXG REL ORG NIL	Io sto lavorando per McDonald's .
PROPN PUNCT PROPN AUX AUX ADJ ADP PROPN PUNCT	PER NOW PFT EXS REL GPE NIL	André~Henri~Constant~van~Hasselt è stato educato a Maastricht .
PROPN VERB DET NOUN ADP PROPN PUNCT	PER EPS DIS CON REL GPE NIL	Hooper comprò una casa a Portland .
PROPN VERB ADP PROPN PUNCT	PER EPS REL GPE NIL	Wolfgang~Amadeus~Mozart nacque a Salisburgo .
PRON VERB DET NOUN PUNCT	PRO EFS DEF CON NIL	Io mangerò la mela .
PROPN VERB DET NOUN PUNCT	PER ENS DEF CON NIL	Tom suona il flauto .
DET NOUN AUX VERB DET NOUN PUNCT	DEF CON PST EXG DIS CON NIL	Il cane stava scavando una buca .
DET NOUN AUX AUX VERB PUNCT	DEF CON NEC NOW EXS NIL	La camicia deve essere stirata .
PROPN ADV AUX ADJ PUNCT	PER NOT NOW IST NIL	Tom non è fastidioso .
PROPN VERB PUNCT	PER EPS NIL	Tom borbottò .
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Tom affronta un enigma .
PROPN AUX AUX VERB NUM NOUN PUNCT	PER NOW PFT EXS QUC CON NIL	Tom è stato pugnalato tredici volte .
PRON PRON VERB PUNCT	PRO PRO EPS NIL	Lei lo pugnalò .
AUX ADV ADJ PUNCT	NOW ALT IST EMP	Sono già bagnato !
PRON AUX VERB DET NOUN ADP PROPN PUNCT	PRO NOW EXT DIS CON REL PER NIL	Io ho dato una mela a Tom .
DET ADJ VERB ADP NUM PUNCT	DEF HAP EPS DEF YOC NIL	La Seconda~Guerra~Mondiale scoppiò nel 1939 .
DET PROPN AUX VERB ADP NUM PUNCT	DEF GEO PST EXS DEF YOC NIL	La Linea~Kakhovskaya fu costruita nel 1995 .
PROPN VERB PUNCT	PER EPS NIL	Tom ridacchiò .
PROPN ADV AUX ADJ PUNCT	PER NOT NOW IST NIL	Tom non è infelice .
DET PUNCT NOUN AUX ADV ADJ PUNCT	PRX CON NOW INT IST NIL	Quest' area è estremamente isolata .
PROPN AUX AUX VERB PUNCT	PER NIL PFT EXS NIL	Tom è stato licenziato .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Chuck è insolente .
NOUN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Robin~Hood derubava i ricchi .
PRON PRON VERB PUNCT	PRO PRO ENS NIL	Lei lo adora .
PROPN NOUN VERB DET NOUN PUNCT	HAS ROL EPS DEF CON NIL	Mia madre assaggiò il latte .
PROPN AUX ADJ ADP PROPN PUNCT	PER NOW IST REL CON NIL	Tom è allergico alla soia .
PROPN VERB NUM NOUN PUNCT	PER EPS QUC CON NIL	Tom segnò tre punti .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom assaggiò lo stufato .
PRON AUX ADJ ADP NOUN PUNCT	PRO NOW IST REL CON NIL	Lei è allergica ai gatti .
PROPN VERB PROPN PUNCT	PER EPS PER NIL	Ken sentì Tom .
PROPN VERB DET NOUN PUNCT	PER EPS DIS CON NIL	Tom fece una ruota .
PRON AUX VERB PROPN PUNCT	PRO NOW EXT PER NIL	Io ho contattato Tom .
AUX VERB NUM NOUN PUNCT	NOW EXT QUC CON NIL	Ho ordinato due hamburger .
ADP PRON VERB DET NOUN ADJ PUNCT	REL PRO ENS DEF CON IST QUE	A te piace il cibo piccante ?
ADV VERB PROPN PUNCT	QUE EPS PER QUE	Come morì George~Washington ?
PROPN ADJ PUNCT	PER EPS NIL	Tom comprese .
PRON VERB ADJ PUNCT	PRO ENS CON NIL	Lui parla cinese .
PRON VERB ADP PRON PUNCT	PRO ENS REL AND NIL	Mi scuso con tutti .
VERB PRON NOUN PUNCT	FUT AND IST NIL	Avranno tutti fame .
PROPN AUX VERB DET NOUN NOUN PUNCT	PER NOW EXG DIS CON IST NIL	Peter sta comprando un gatto maschio .
DET NOUN AUX VERB DET NOUN PUNCT	DEF CON NOW EXT DEF ROL NIL	La polizia ha arrestato il ladro .
PROPN ADV VERB NOUN PUNCT	PER NOT EPS CON NIL	Tom non indossava cappelli .
PROPN VERB ADP PRON PUNCT	PER ENS REL AND NIL	Tom parla con tutti .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC UOM NIL	Questa pietra pesa cinque tonnellate .
DET DET NOUN AUX ADJ PUNCT	DEF HAS CON NOW COL NIL	La mia matita è rossa .
PROPN AUX DET NOUN PUNCT	PER ENS DIS ROL NIL	Charlie~Chaplin è un attore .
PROPN VERB ADP NOUN PUNCT	PER EPS REL CON NIL	Mayuko entrò nella stanza .
DET NOUN VERB NUM NOUN PUNCT	DEF CON ENS QUC UOM NIL	Il tè costa due euro .
PRON AUX VERB PUNCT	DIS NOW EXG NIL	Qualcuno sta mentendo .
PRON AUX DET NOUN ADP NOUN PUNCT	QUE ENS DEF CON DEF CON QUE	Qual è il titolo del film ?
PROPN VERB ADP DET NOUN PUNCT ADJ PUNCT	PER EPS REL DIS CON NIL	Tom lavorava per una compagnia~petrolifera .
PROPN AUX VERB PUNCT	PER NOW EXS NIL	Tom è perdonato .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom~Jackson perse le elezioni .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è smilzo .
DET NOUN ADJ AUX ADP PROPN PUNCT	DEF CON TOP EPS REL GPE NIL	La rivolta peggiore era a Chicago .
PRON AUX VERB NUM NOUN ADP DET NOUN PUNCT	PRO NOW EXT QUC UOM REL DEF CON NIL	Lui ha pagato venti dollari per il rossetto .
DET PRON PRON PRON VERB PRON VERB PUNCT	AND CON AND PRO ENS PRO ENS NIL	Tutti quelli che lo conoscono lo rispettano .
PROPN AUX VERB CCONJ PROPN AUX VERB PUNCT	PER NOW EXT AND PER NOW EXT NIL	Tom ha bussato e Mary ha risposto .
PROPN AUX ADJ ADP NOUN PUNCT	PER NOW IST REL CON NIL	Tom è allergico alle uova .
DET NOUN ADJ ADP NOUN PUNCT	PRX CON ENS REL CON NIL	Questo fiume abbonda di trote .
NOUN AUX VERB ADP PROPN PUNCT	PER PST EXS REL PER NIL	Ibrahim~Sofu fu ucciso da Metin~Kaplan .
PRON AUX VERB DET NOUN PUNCT	QUE NOW EXT DEF CON QUE	Chi ha inventato la radio ?
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXT DIS CON NIL	Mario ha comprato un microscopio .
DET NOUN AUX ADJ PUNCT	PRX CON NOW COL QUE	Questa carta è bianca ?
DET NOUN AUX VERB ADP DET NOUN PUNCT	DEF CON NOW EXG REL HAS ROL NIL	Il ragazzo sta parlando con suo nonno .
DET NOUN VERB DET NUM NOUN PUNCT	DEF ROL EPS DEF QUC CON NIL	I pirati navigarono i sette mari .
DET NOUN VERB ADP PRON PUNCT	PRX CON ENS REL PRO NIL	Questo CD appartiene a lei .
PRON AUX ADV ADJ PUNCT	PRO NOW INT DEG NIL	Lui è molto alto .
PRON AUX VERB PUNCT	PRO NOW IST NIL	Io sono mancino .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXT DEF CON NIL	Tom ha compreso i rischi .
PROPN VERB PUNCT	PER EPS NIL	Tom esitò .
DET NOUN AUX VERB DET NOUN PUNCT	DIS CON NOW EXT DIS CON NIL	Un coccodrillo ha mangiato un cane .
AUX VERB PRON ADP PROPN PUNCT	NOW EXT PRX REL PER NIL	Ho comprato questa per Tom .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è imparziale .
DET NOUN AUX DET NOUN ADJ PUNCT	HAS ROL ENS DIS ROL IST NIL	Suo fratello è un calciatore famoso .
PRON AUX VERB DET NOUN NUM NOUN ADV PUNCT	PRO NOW EXT DIS CON QUC UOM PST NIL	Io ho scritto un libro due anni fa .
DET DET NOUN PRON VERB PUNCT	DEF HAS CON PRO EPS NIL	Il suo discorso mi annoiò .
AUX VERB ADP DET NOUN PUNCT	NOW EXT REL DEF CON NIL	Ha nuotato attraverso il fiume .
PRON AUX NOUN PUNCT	PRO NOW IST NIL	Io sono mancina .
PROPN AUX AUX VERB PUNCT	PER NOW PFT EXS NIL	Tom è stato assolto .
DET DET NOUN AUX VERB PUNCT	DEF HAS CON NOW COL NIL	Il suo maglione è viola .
PROPN AUX VERB PUNCT	PER NOW EXG NIL	Tom sta bussando .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è livido .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom mangiò il sandwich .
DET NOUN VERB ADP NOUN PROPN PUNCT	PRX CON ENS DEF ROL PER NIL	Questa casa appartiene al signor Yamada .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom suonava il flauto .
DET NOUN NOUN PUNCT	DEF CON EPS NIL	Il gatto miagolò .
DET PROPN AUX ADJ NUM NOUN PUNCT	DEF GEO NOW DEG QUC UOM NIL	Il Kanchenjunga è alto 8586 metri .
PRON AUX VERB DET NOUN ADJ ADJ PUNCT	PRO NOW EXT DIS ROL NIL	Lui ha assunto un investigatore~privato .
PROPN VERB DET DET NOUN PUNCT	PER EPS DEF HAS CON NIL	Tom rubò il suo anello .
PROPN AUX VERB CCONJ PROPN AUX VERB PUNCT	PER PST EXG COO PER PST EXG NIL	Mayuko stava leggendo e Meg stava dipingendo .
DET DET NOUN ADJ PROPN PUNCT	DEF HAS CON EPS PER NIL	Il mio cane morse Tom .
DET NOUN VERB PUNCT	DEF CON ENS NIL	Il serpente sibila .
PROPN NOUN PROPN PUNCT	PER EPS PER NIL	Tom baciò Mary .
PROPN ADV VERB PUNCT	PER NOT ENS NIL	Tom non fuma .
PROPN VERB DET PUNCT NOUN PUNCT	PER EPS DEF CON NIL	Tom mancò l' uscita .
DET NOUN AUX AUX VERB ADP DET NOUN PUNCT	DEF CON NOW PFT EXS REL DIS CON NIL	Il traffico è stato bloccato da una frana .
DET NOUN AUX ADP NUM NOUN PUNCT	DEF CON ENS REL QUC UOM EMP	Il letto è a 120 euro !
PROPN AUX ADJ ADP NOUN PUNCT	PER NOW IST REL CON NIL	Tom è allergico alle noci .
PRON VERB VERB ADP NOUN PUNCT	PRO ENS EXS DIS CON NIL	Mi piace scrivere delle poesie .
ADV VERB PROPN PUNCT	QUE EPS PER QUE	Come morì Harry~Chaplin ?
DET NOUN AUX ADJ PUNCT	PRX CON NOW IST NIL	Questo bar è accogliente .
DET NOUN PROPN AUX ADJ PUNCT	DEF ROL PER NOW GPO NIL	Il signor Wang è cinese .
PRON VERB ADP PUNCT NOUN PUNCT	PRO ENS REL CON NIL	Noi vendiamo dell' aranciata .
DET NOUN VERB PUNCT	DEF ROL ENS NIL	Le madri cuciono .
DET DET NOUN AUX ADJ PUNCT	DEF HAS CON NOW GPO NIL	La mia auto è tedesca .
PRON PUNCT NOUN VERB ADP NUM PUNCT	DEF CON EPS DEF CLO NIL	L' esibizione iniziò alle otto .
PRON ADV VERB DET ADJ PUNCT	PRO NOT ENS DEF CON NIL	Io non parlo lo svedese .
PROPN ADV AUX VERB PUNCT	PER NOT NOW IST NIL	Tom non è divertito .
DET NOUN AUX VERB PROPN ADV PUNCT	DEF CON NOW EXG PER NOW NIL	La polizia sta interrogando Tom ora .
PROPN PROPN VERB VERB ADP NUM PUNCT	PER EPS DEF YOC NIL	Charles~de~Gaulle morì nel 1970 .
PROPN AUX VERB ADP PROPN PUNCT	PER NOW EXT REL GPE NIL	Tom è volato a Boston .
DET NOUN ADV AUX AUX VERB ADP PROPN PUNCT	DEF CON NOT NOW PFT EXS REL GPE NIL	La camera non è stata pulita da Rosa .
PROPN AUX VERB DET NOUN ADP DET DET NOUN PUNCT	PER NOW EXT DIS CON REL DEF HAS CON NIL	Melanie ha ucciso un ragno con la sua mano .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXG DEF CON NIL	Jim sta innaffiando il giardino .
PROPN NOUN VERB DET NOUN PUNCT	HAS ROL ENS DEF CON NIL	Mia sorella adora la musica .
PROPN AUX DET NOUN ADJ PUNCT	PER ENS DIS ROL IST NIL	Chomsky è un linguista strutturalista .
DET NOUN AUX ADV ADJ PUNCT	DEF CON PST INT IST NIL	Il mare era molto calmo .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXG DIS CON NIL	Tom sta masticando uno stuzzicadenti .
PRON VERB DET NOUN PUNCT	PRO EPS DIS CON NIL	Io guardai un documentario .
PRON ADP PRON PRON VERB PUNCT	NOT REL PRO PRO EFS NIL	Nessuno di noi ti aiuterà .
DET PUNCT NOUN VERB PUNCT	AND CON EXS NIL	Un' ape ronza .
PROPN AUX DET ADJ NOUN PUNCT	PER ENS DIS IST ROL NIL	Tom è un pessimo conducente .
PROPN PRON VERB PUNCT	PER PRO ENS NIL	Mary mi annoia .
NOUN AUX VERB ADP NOUN PUNCT	PER PST EXS REL CON NIL	O.J.~Simpson fu accusato di omicidio .
PROPN AUX DET NOUN PUNCT NOUN PUNCT	PER ENS DIS ROL NIL	Betty è una serial~killer .
ADV VERB PROPN PUNCT	QUE EPS PER QUE	Come morì Joseph~Smith ?
VERB DET NOUN AUX ADJ PUNCT	EXG DIS CON NOW IST NIL	Formare un gabinetto è difficile .
DET NOUN AUX VERB ADP DET NOUN PUNCT	DEF CON PST EXS REL DEF CON NIL	Il pinguino fu espulso da l gruppo .
PROPN ADJ PUNCT	PER EPS NIL	Alice sorrise .
DET NOUN PRON VERB PUNCT	PRX CON PRO ENS NIL	Questo romanzo mi annoia .
VERB DET PROPN ADP PROPN ADV AUX ADJ PUNCT	EXG DEF CON REL NTH NOT NOW IST NIL	Testare il QI di Koko non è facile .
PROPN PRON AUX VERB PUNCT	PER PRO NOW EXG NIL	Tom mi sta intercettando .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXG DIS CON NIL	Millie sta mangiando una banana .
PROPN ADV AUX DET NOUN PUNCT	PER NOT ENS DIS ROL NIL	Tom non è un candidato .
DET NOUN VERB DET NOUN PUNCT	DEF ROL EPS DEF ROL NIL	Le spie avvelenarono il conte .
DET NOUN ADV VERB PUNCT	DEF CON NOT ENS NIL	Il ventilatore non funziona .
PROPN VERB DET NOUN PUNCT	PER EPS DIS CON NIL	Tom segnò un goal .
NOUN NOUN PUNCT	PER ENS NIL	Naoko nuota .
DET NOUN AUX ADJ PUNCT	DEF CON PST IST NIL	I sandwich erano terribili .
PROPN VERB PROPN PUNCT	PER EPS PER NIL	Klava invidiava Lyusya .
AUX VERB PUNCT	PST EXG NIL	Stavo dormendo .
PRON PUNCT ADJ ADJ ADV AUX AUX ADV VERB PUNCT	DEF CON NOW PFT INT EXS NIL	L' hard~disk è stato completamente distrutto .
PROPN PROPN VERB VERB ADP NUM PUNCT	PER EPS DEF YOC NIL	Charles~de~Gaulle morì nel 1970 .
AUX VERB DET NOUN ADP DET NOUN PUNCT	NOW EXT DIS CON REL DIS CON NIL	Ho incontrato un lupo in un sogno .
PRON VERB DET NOUN PUNCT	QUE ENS DEF CON QUE	Chi produce il viagra ?
DET NOUN VERB PROPN PUNCT	QUE CON EPS PER QUE	Che cosa inventò Alfred~Nobel ?
PROPN VERB ADP NOUN PUNCT	PER ENS REL CON NIL	Tom soffre di osteoporosi .
DET NOUN VERB ADP PRON PUNCT	DST CON ENS REL PRO NIL	Quella casa appartiene a me .
PROPN AUX ADJ ADP VERB ADP NOUN PUNCT	PER NOW IST REL EXG REL CON NIL	Akira è bravo a giocare a tennis .
DET NOUN VERB PUNCT	DEF CON EPS NIL	Il vento ululava .
NOUN AUX ADJ PUNCT	PER NOW IST QUE	Robin~Hood è vivo ?
PROPN VERB DET NOUN PUNCT	PER ENS AND CON NIL	Tom odia le feste .
PROPN VERB ADP NOUN PUNCT	PER ENS REL CON NIL	Giovannino scorreggia in classe .
PRON AUX ADP NOUN PUNCT	DIS EPS REL CON NIL	Qualcuno era in casa .
PROPN VERB DET NOUN PUNCT	PER ENS AND CON NIL	Mary odia i ragni .
PROPN ADV AUX ADV ADJ PUNCT	PER NOT NOW INT IST NIL	Tom non è molto socievole .
PRON VERB PUNCT	PRO ENS NIL	Io capisco .
DET NOUN NOUN ADP DET NOUN PUNCT	DEF CON EPS REL QUV UOM NIL	La folla applaudì per diversi minuti .
DET NOUN AUX ADJ PUNCT	DEF CON NOW COL NIL	La ciliegia è rossa .
PRON VERB DET NOUN PUNCT	QUE ENS DEF CON QUE	Chi allena la squadra ?
PROPN ADV AUX ADV VERB DET NOUN PUNCT	PER NOT NOW ALT EXT DEF CON NIL	Mary non ha ancora grigliato la carne .
DET NOUN AUX ADP DET NOUN PUNCT	PRX CON ENS REL HAS ROL NIL	Questo hotel è di mio cognato .
DET NOUN AUX VERB ADP NOUN PUNCT	DEF CON NOW EXG REL CON NIL	Il vento sta soffiando verso est .
PRON AUX VERB ADP DET NOUN PUNCT	PRO NOW IST REL PRX NOW NIL	Io sono sbronzo in questo momento .
AUX ADV ADJ PUNCT	NOW INT IST NIL	È abbastanza strana .
PRON AUX VERB PUNCT	PRO NOW IST NIL	Loro sono divertiti .
AUX ADV ADJ PUNCT	NOW INT IST NIL	È abbastanza vago .
AUX AUX VERB NUM NOUN PUNCT	PER NOW EXT QUC CON NIL	Jerry~Reinsdorf ha vinto 7 campionati .
ADV AUX VERB ADP DET NOUN ADP PROPN PUNCT	PER PST EXS REL DEF CON REL ORG NIL	Nick~Leeson fu arrestato per il collasso della Barings~Bank~PLC .
DET NOUN VERB DET NOUN PROPN NOUN PROPN PUNCT	QUE CON EPS DEF ROL PER QUE	Quale strumento suonava il musicista~jazz Art~Tatum ?
PRON ADV AUX ADP PROPN PRON ADJ PUNCT	PRO NOT NOW EMP IST NIL	Lui non è per~nulla felice .
DET PUNCT NOUN AUX ADJ PUNCT	DST CON NOW GPO NIL	Quell' uomo è keniota .
PRON PUNCT NOUN AUX ADJ PUNCT	DEF CON NOW COL NIL	L' auto è verde .
DET NOUN VERB DET NOUN ADJ PUNCT ADJ PUNCT	DEF CON EPS DIS CON COL NIL	La ragazza indossava un kimono blu~chiaro .
PRON VERB DET NOUN PUNCT	PRO EPS DEF CON NIL	Io suonavo la fisarmonica .
DET NOUN VERB DET NOUN PUNCT	PRX CON ENS DIS CON NIL	Questo edificio ha un parafulmine .
PROPN ADV AUX VERB DET NOUN PUNCT	PER NOT POS EXS DEF CON NIL	Lucy non sa usare le bacchette .
DET NOUN AUX VERB PUNCT	DEF CON NOW IST NIL	La bandiera è issata .
DET NOUN VERB PUNCT	DEF CON ENS NIL	Il cavallo sbuffa .
PRON AUX VERB ADP NUM PUNCT	PRO NOW EXT DEF CLO NIL	Io sono arrivato alle 2:30 .
DET NOUN VERB ADV PUNCT	DEF CON ENS IST NIL	Il fiume scorre tranquillamente .
AUX ADV VERB PUNCT	PST INT IST NIL	Era completamente incazzato .
DET NOUN ADV AUX VERB PUNCT	DEF CON NOT PST IST NIL	La porta non era chiusa .
DET NOUN AUX ADJ ADJ ADJ PUNCT	DEF CON PST IST NIL	Il sangue era rosso~acceso .
NUM NOUN AUX AUX VERB PUNCT	QUC CON NOW PFT EXS NIL	Tredici persone sono state arrestate .
PRON PUNCT NOUN AUX AUX ADJ PUNCT	DEF CON NOW PFT IST NIL	L' atterraggio è stato perfetto .
PRON AUX VERB ADP DET NOUN PUNCT	PRO PST EXG REL DEF CON NIL	Io stavo ballando ne l campo .
AUX VERB ADP NUM NOUN CCONJ PROPN DET NOUN ADJ PUNCT	PRO EPS DEF CLO NIL	È successo alle undici~e~un~quarto .
AUX VERB ADP PROPN ADP PROPN PUNCT	NOW EXT REL GPE REL GPE NIL	Ha volato da Londra a Parigi .
ADP DET NOUN AUX DET NOUN PROPN PUNCT	REL QUE CON ENS DEF CON GEO QUE	In che continente è il fiume Nilo ?
PRON PRON VERB VERB PUNCT	DIS PRO NOW EXT NIL	Qualcosa mi ha morso .
PRON AUX DET NOUN ADP PROPN PUNCT	QUE ENS DEF ROL DEF ORG QUE	Chi è il presidente della FIAT ?
DET NOUN VERB PROPN PUNCT	QUE CON ENS PER QUE	Quanti figli ha Anthony~Quinn ?
PROPN AUX ADJ ADP NOUN PUNCT	PER NOW IST REL CON NIL	Tom è allergico alle arachidi .
ADP PROPN ADJ ADJ NOUN PUNCT PRON AUX ADJ PUNCT	ALT NIL PRO NOW IST NIL	In~altre~parole , lui è pigro .
PROPN AUX ADJ PUNCT	PER PST IST NIL	Tom era esterrefatto .
PROPN AUX VERB ADP PROPN ADP PROPN PUNCT	PER NOW EXG REL CON REL PER NIL	Tom sta giocando a Tennis con Mary .
PRON VERB DET NOUN PUNCT	PRO EPS DIS GPO NIL	Lei sposò uno statunitense .
PRON AUX ADJ PUNCT	PRO NOW IST NIL	Loro sono stanchi .
PROPN VERB DET NOUN PUNCT	PER EPS DIS CON NIL	Emily mangiò una mela .
PROPN VERB PUNCT	PER EPS NIL	Tom ridacchiò .
DET NOUN VERB PUNCT	DEF CON EPS NIL	Il gatto scappò .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è turbato .
PRON ADV AUX ADV VERB ADP NOUN PUNCT	PRO NIL NOW NOT EXT REL CON NIL	Io non ho mai giocato a golf .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS DEF CON REL PRX ROL NIL	Io diedi i libri a questo studente .
PROPN AUX VERB PUNCT	PER NOW EXG NIL	Tom sta urlando .
DET NOUN VERB ADP NOUN PUNCT	HAS ROL ENS REL CON NIL	Mio figlio soffre di osteoporosi .
DET NOUN VERB ADP NUM NOUN PUNCT	QUC UOM EXS REL QUC UOM NIL	Un dollaro equivale a cento centesimi .
PRON VERB PUNCT	PRX EFS NIL	Questo continuerà .
PROPN VERB PROPN ADP NOUN PUNCT	PER EPS PER REL CON NIL	Dan incontrò Linda in chiesa .
DET NOUN AUX VERB ADP PROPN PUNCT	HAS ROL NOW EXG REL GPE NIL	Mio padre sta andando in Cina .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXT HAS ROL NIL	George ha sposato mia sorella .
PROPN VERB PROPN PUNCT	PER EPS PER NIL	Tom odiava Mary .
PROPN VERB ADP PROPN PUNCT	PER EPS REL ORG NIL	Beverly lavorava per WEDCOR .
PROPN AUX DET NOUN PUNCT	PER ENS DIS ROL NIL	Kieslowski è un regista .
ADV VERB NOUN PUNCT	QUE EPS PER QUE	Dove nacque Adolf~Hitler ?
PROPN AUX VERB NUM NOUN ADP PROPN PUNCT	PER NOW EXT QUC UOM REL PER NIL	Tom ha rubato trecento dollari a Mary .
DET PROPN VERB DET NOUN NUM PUNCT ADP PROPN NUM PUNCT	DEF ORG EPS DEF CON SCO NIL	Il Manchester~United vinse la partita quattro~a~due .
ADV AUX VERB PRON PUNCT	NOT NOW EXT DIS NIL	Non è morto nessuno .
DET NOUN AUX VERB PUNCT	DEF CON NOW IST NIL	Il cielo è coperto .
PRON AUX ADJ PUNCT	PRO PST EXT NIL	Io ero rilassato .
PRON AUX ADJ ADP NOUN PUNCT	PRO NOW IST REL CON NIL	Io sono allergico agli antibiotici .
DET NOUN ADJ PUNCT	DEF CON ENS NIL	La mucca muggisce .
DET NOUN AUX ADP ADJ NOUN PUNCT	DEF CON ENS DEF ORD CON NIL	La biblioteca è al quarto piano .
AUX VERB DET NOUN ADJ PUNCT	NOW EXG DEF CON COL NIL	Stanno sbocciando le foglie verdi .
PROPN AUX NOUN PUNCT	PER NOW IST NIL	Mary è mancina .
DET NOUN NOUN NOUN AUX ADJ ADP PROPN PUNCT	DEF CON NOW IST REL GPE NIL	Il Fast~food è popolare in Giappone .
PROPN NOUN VERB ADP NOUN PUNCT	HAS ROL ENS REL CON NIL	Mia moglie soffre di polmonite .
DET NOUN AUX VERB DET NOUN PUNCT	DEF CON NOW EXG DIS CON NIL	Il cane sta masticando un osso .
PROPN ADV VERB NOUN PUNCT	PER NOT NOW IST NIL	Tom non ha fame .
PRON ADP PRON AUX ADJ PUNCT	NOT REL PRX NOW IST NIL	Niente di questo è razionale .
PROPN AUX VERB PUNCT	PER NOW EXT NIL	Tom ha sbadigliato .
PRON AUX VERB DET NOUN PUNCT ADP NOUN PUNCT	PRO NOW EXT DIS CON NIL	Lei ha vinto una medaglia~d'oro .
